MovieID,Title,Genre,Rating,BoxOfficeRevenue,Budget,ReleaseYear
1,Movie 1,Sci-Fi,2.968877976157632,162592521.60173416,152630834.3982789,2009
2,Movie 2,Romance,6.02291801815607,,78680857.10877836,2017
3,Movie 3,Drama,4.634525539522367,95911832.24577588,52011542.30427821,2007
4,Movie 4,Romance,1.5840302239808342,18408939.897557616,44983839.058772355,2007
5,Movie 5,Romance,3.2852387254091022,384048567.2719164,54031275.704800695,2006
6,Movie 6,Comedy,3.221884565547411,405387358.7548819,58572700.42005221,2007
7,Movie 7,Drama,7.266738455558095,179689117.3338064,45409391.55657101,2013
8,Movie 8,Drama,7.410435309319978,237690168.34040958,176253030.1584425,2018
9,Movie 9,Drama,2.332782369580599,328389104.49495405,152614830.7735846,2005
10,Movie 10,Romance,9.979664365440478,33548872.856546525,14144811.219287885,2000
11,Movie 11,Sci-Fi,3.401029128477565,475081408.4797791,57391133.99493493,2022
12,Movie 12,Drama,9.789534602493877,444473389.7760433,9326024.695908818,2014
13,Movie 13,Horror,,137837875.43743986,102142211.39594913,2000
14,Movie 14,Romance,1.2974565961049356,17499224.742288526,97861085.87385777,2016
15,Movie 15,Comedy,,467383790.95894665,167117440.56218773,2000
16,Movie 16,Sci-Fi,,255509543.11847702,65016561.755354635,2014
17,Movie 17,Horror,7.126349063992901,274294949.7160306,164195218.36654717,2022
18,Movie 18,Horror,5.778411249854227,345142247.0050891,193754884.2607655,2001
19,Movie 19,Comedy,5.0300484811578245,311767070.55105776,22239603.556301083,2013
20,Movie 20,Sci-Fi,5.976037801641952,472506886.234771,159404478.6965784,2020
21,Movie 21,Romance,6.334270514914542,,120041399.94183904,2007
22,Movie 22,Action,1.7276799369944373,,98608963.56860265,2007
23,Movie 23,Sci-Fi,,,87004476.83968964,2018
24,Movie 24,Comedy,3.179439444496833,402465154.39437586,158010311.46914035,2006
25,Movie 25,Horror,8.228257807419062,341812487.76766104,129675464.60997726,2018
26,Movie 26,Romance,5.232705710014346,290949850.4192473,161983710.16627556,2005
27,Movie 27,Sci-Fi,9.850808268053587,72965173.08461599,181114456.44194213,2005
28,Movie 28,Action,4.589419982000978,407490046.6006415,125366423.85897194,2002
29,Movie 29,Action,8.347886858974455,412113343.11453813,196190231.3930137,2006
30,Movie 30,Drama,,316710438.34977067,123577130.66066761,2018
31,Movie 31,Drama,2.356457895688865,412009153.44792134,129145642.7163451,2007
32,Movie 32,Comedy,5.573788990666468,329227538.2103161,113189043.66573401,2009
33,Movie 33,Sci-Fi,7.262315261117937,,22745407.755009405,2019
34,Movie 34,Sci-Fi,8.72522924332348,144240952.38735554,146647421.3667945,2014
35,Movie 35,Horror,3.933630146816963,115148668.65710333,111752029.84532675,2014
36,Movie 36,Horror,2.982169428089935,,92927537.24614036,2000
37,Movie 37,Horror,7.4003457919421605,29091934.83201448,182541899.28863823,2019
38,Movie 38,Drama,8.285509415257438,312944403.3255675,63102093.05068034,2006
39,Movie 39,Sci-Fi,4.137993885625564,174911565.295476,107102443.82292718,2003
40,Movie 40,Sci-Fi,1.8655889598227868,331304091.33656365,141040164.94122535,2005
41,Movie 41,Action,9.464709380406436,198844344.27312687,160311996.25640607,2000
42,Movie 42,Drama,4.578148189787701,343990697.796667,94572627.54950362,2004
43,Movie 43,Romance,5.659762154747321,176906039.0374776,169207825.92864838,2022
44,Movie 44,Drama,8.539390953165952,137740318.8355925,154938959.55650252,2000
45,Movie 45,Romance,7.081211053353527,253058352.60376903,17916015.681113843,2003
46,Movie 46,Action,7.616945073166949,349516275.7590503,13942946.948903425,2021
47,Movie 47,Comedy,2.881644586639423,180684936.1820667,126057108.4623078,2001
48,Movie 48,Sci-Fi,,468957594.4092966,72745614.60395578,2009
49,Movie 49,Action,7.2620595941057395,29201300.071066666,45780504.26031026,2004
50,Movie 50,Sci-Fi,3.056950196175697,214793555.5406336,118031737.22198899,2009
51,Movie 51,Horror,2.5745943438634256,484114470.24492127,71604826.03902629,2000
52,Movie 52,Comedy,9.83951508996492,278506222.7915628,109766366.25924367,2021
53,Movie 53,Comedy,5.6497230214391285,217500761.7309781,94723236.00179654,2005
54,Movie 54,Action,3.347462573473681,288574939.0374796,119029390.66008496,2012
55,Movie 55,Comedy,9.966283297821318,292203041.87646145,83058595.33750486,2014
56,Movie 56,Romance,9.688774161599143,368507400.0968237,141045176.8709017,2003
57,Movie 57,Comedy,6.024641082463878,72567967.41700813,40113118.108113214,2012
58,Movie 58,Sci-Fi,8.943727088704058,132508060.11589128,140817785.9142804,2023
59,Movie 59,Sci-Fi,2.6983639750724144,294466566.0485158,85273936.79971798,2019
60,Movie 60,Sci-Fi,3.5098421733296368,,175491932.94661134,2023
61,Movie 61,Sci-Fi,7.303220469754942,285314679.15044904,105471030.69852112,2014
62,Movie 62,Romance,8.619950280144753,126912461.29726669,194756518.10767034,2007
63,Movie 63,Drama,8.706918626902832,343123942.1511205,122377402.13048723,2004
64,Movie 64,Horror,4.640573144099711,372555292.6192135,48650567.851732515,2014
65,Movie 65,Action,8.989930888848638,126735714.67794992,165249174.1846676,2003
66,Movie 66,Sci-Fi,8.658356038907614,,72291112.42536542,2011
67,Movie 67,Comedy,9.420714947988527,271820462.02997607,72785746.82412328,2012
68,Movie 68,Sci-Fi,,253314983.43470806,11201912.8896072,2001
69,Movie 69,Comedy,7.020894292428058,,111999485.29544468,2018
70,Movie 70,Horror,6.226179592928092,155841235.5095623,109212583.22784199,2018
71,Movie 71,Horror,4.350544899055688,58992594.70931306,74418339.4330373,2003
72,Movie 72,Horror,9.461200982120006,36207795.406210765,179372366.2647055,2003
73,Movie 73,Comedy,9.762974530797855,479685333.4727672,30105937.668430563,2010
74,Movie 74,Sci-Fi,3.555288772637191,425100140.606839,69369405.09548031,2004
75,Movie 75,Horror,3.748274743099541,,67708639.11260566,2019
76,Movie 76,Romance,5.37052378227604,,22996664.314605486,2010
77,Movie 77,Comedy,5.035817286876226,341617253.1679086,98823351.84097718,2009
78,Movie 78,Comedy,9.950117163497387,,139118019.83373618,2007
79,Movie 79,Sci-Fi,2.583327274096108,251582572.30818444,104773117.64171594,2005
80,Movie 80,Comedy,1.1626782725396878,,35610648.129657775,2005
81,Movie 81,Comedy,5.445043436650911,54935032.15665573,78570763.22220415,2007
82,Movie 82,Horror,2.6094043829919595,305196053.6915483,5506029.754811079,2022
83,Movie 83,Sci-Fi,4.298219061245739,281314495.6494424,174318715.87193942,2014
84,Movie 84,Horror,7.69753470750906,114236668.56187218,21480816.497732975,2013
85,Movie 85,Horror,7.488459318269164,473635326.0120282,121469226.03980896,2010
86,Movie 86,Sci-Fi,3.772547126671503,392835064.73088926,197320114.19402894,2011
87,Movie 87,Action,5.882862074994094,,109635175.96752985,2012
88,Movie 88,Horror,5.57932669154884,466155261.7867734,185188143.02594945,2007
89,Movie 89,Romance,6.726993563673059,487381622.181861,51042723.95789384,2017
90,Movie 90,Romance,3.2541563674502574,498006308.59486127,153191304.7428292,2000
91,Movie 91,Comedy,6.308837628044895,37376865.79190152,108596822.02483913,2014
92,Movie 92,Romance,9.810035724475082,371147422.82759434,145500631.97133565,2007
93,Movie 93,Comedy,5.380679376635096,277498727.3808446,17156565.68969208,2010
94,Movie 94,Action,9.154889089466986,355857427.1005603,33809122.9217142,2011
95,Movie 95,Sci-Fi,4.909549289593858,,30957801.074558258,2011
96,Movie 96,Sci-Fi,4.150705669252082,347134704.98576915,138997273.55364954,2003
97,Movie 97,Sci-Fi,6.805930258275083,420112298.3763132,169665931.16355762,2015
98,Movie 98,Romance,7.020316536967897,434765665.60231227,151175165.24167454,2003
99,Movie 99,Action,8.777508085647128,420855574.2443527,10942069.783050861,2004
100,Movie 100,Romance,3.0716674141739975,218784822.77300113,174106921.30957103,2023
101,Movie 101,Romance,5.492740418962771,119062444.60980496,74058600.80465946,2004
102,Movie 102,Action,6.148037792882648,204359284.95758343,82446947.33829609,2007
103,Movie 103,Action,7.916986128756781,447029485.30062056,25449487.473833777,2009
104,Movie 104,Action,1.3924339457899038,81836362.62909248,148794015.18829474,2016
105,Movie 105,Action,9.95095459717607,261529822.65927252,40545356.302811824,2008
106,Movie 106,Sci-Fi,5.229500625918487,124281755.48801863,114973192.94367309,2021
107,Movie 107,Drama,3.5160430761708272,294839654.4411233,168938447.24619657,2018
108,Movie 108,Drama,8.95144620039633,432937875.7746119,22394844.098850958,2013
109,Movie 109,Action,7.729468965076725,441376384.63282424,109390434.98302709,2007
110,Movie 110,Drama,9.577646623215578,125975744.90421858,50477200.252211235,2008
111,Movie 111,Drama,3.9767527420346234,454769916.1107877,71870738.53426075,2021
112,Movie 112,Action,5.974884701519409,300025482.02242935,97424138.57895845,2010
113,Movie 113,Drama,6.150632222537545,181606940.88315365,74245339.13946442,2022
114,Movie 114,Romance,9.82298425344441,357008785.8357679,131520453.85685731,2000
115,Movie 115,Comedy,1.6781163040551539,246016824.10241652,98518509.84207879,2013
116,Movie 116,Comedy,3.7512731735846367,195213919.1599047,118918899.51926301,2004
117,Movie 117,Action,2.7181992803531143,355491338.50536335,148680382.702008,2020
118,Movie 118,Sci-Fi,3.4162737120114115,131874835.6708411,113759741.86033529,2013
119,Movie 119,Action,5.367518868486841,171823739.21935827,119374409.75884803,2003
120,Movie 120,Sci-Fi,4.354181803846444,222881403.79925296,115069415.79191504,2021
121,Movie 121,Comedy,4.5522232012852495,134304265.19783798,78860662.06050143,2022
122,Movie 122,Action,8.597918266536801,,70802132.60502402,2000
123,Movie 123,Horror,9.370151513297486,290021782.3504552,180431242.4432774,2021
124,Movie 124,Romance,1.633745177645895,373077191.84622747,123473268.3472467,2022
125,Movie 125,Drama,2.8802684585382416,385925478.02320015,52648865.31560763,2018
126,Movie 126,Sci-Fi,7.040291651416456,413167272.4195796,102158301.08054334,2007
127,Movie 127,Horror,,374663711.902216,69417953.84977823,2014
128,Movie 128,Drama,3.2874728416276486,343709319.27748543,187069905.63317555,2020
129,Movie 129,Drama,3.657615295770449,126378170.93331027,6469200.811144575,2014
130,Movie 130,Action,3.9029568781474047,206109217.50729218,48939895.55394301,2008
131,Movie 131,Drama,8.63802815432207,244080296.53131157,76244579.83644123,2020
132,Movie 132,Romance,2.2295919829782593,50616747.62974357,100122911.15770389,2008
133,Movie 133,Horror,7.380198972191067,268901359.43563247,170909415.9780485,2009
134,Movie 134,Drama,5.97537979217117,223804557.48721242,22138086.785328057,2019
135,Movie 135,Action,3.6685912928301865,403033532.0230997,162143652.91452298,2020
136,Movie 136,Romance,4.778027708016488,,15852430.424610192,2008
137,Movie 137,Comedy,3.3058624923501227,282442468.9348664,169251236.88314542,2002
138,Movie 138,Horror,6.503623397791125,168116330.256016,15068918.185530003,2019
139,Movie 139,Drama,1.7343476236021633,31266383.816104654,8557283.878530404,2010
140,Movie 140,Action,1.046663764965881,463075231.809562,140907485.1614522,2005
141,Movie 141,Comedy,6.651049734537724,460366700.4865431,199464829.2798369,2001
142,Movie 142,Comedy,2.74846558160838,133965182.31472816,179839001.27993405,2006
143,Movie 143,Sci-Fi,1.638468252999349,350751450.3222573,117319691.4721037,2017
144,Movie 144,Romance,4.571054444924996,46962928.07398694,183892144.55167866,2001
145,Movie 145,Drama,1.4569167793545725,91445561.63553393,6033501.247533056,2016
146,Movie 146,Action,8.97955434055594,116236462.2273807,195138096.77430278,2010
147,Movie 147,Sci-Fi,1.2485509468633422,154302033.95132065,100696011.95546298,2011
148,Movie 148,Romance,6.209784059568029,497957373.76439166,145964738.84124625,2018
149,Movie 149,Sci-Fi,4.946267107162782,,165067987.26490375,2021
150,Movie 150,Horror,,198258897.37581778,145099167.81312796,2023
151,Movie 151,Romance,3.953374007272587,371179345.8630794,109332162.74875756,2006
152,Movie 152,Romance,,458474627.4178621,97940799.40465033,2019
